mismatch_deg,range_m,yaw_offset_deg,true_dist,true_brg,llm_naive_dist,llm_naive_brg,llm_posed_dist,llm_posed_brg,alt_cmd,alt_actual,alt_drop,geom_area,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_naive_note,llm_posed_dist_err,llm_posed_brg_err,llm_posed_note
37.8,2.0,-7.2,,,,,,,2.0,1.949,0.051,0.0248,0.6153780968757916,1.7540083627436878,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",0.6311288741492747,2.744881296942225,
86.7,4.0,19.2,,,,,,,2.0,1.967,0.033,0.0048,0.4887174888214645,8.456592603631785,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
118.0,2.0,5.5,,,,,,,2.0,1.964,0.036,0.0187,0.006554565745193308,8.370578626767882,,0.7311288741492747,34.944881296942214,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
141.7,3.0,6.7,,,,,,,2.0,1.979,0.021,0.009,0.2855470601911412,8.880004570820883,,0.9311288741492745,37.744881296942225,,0.4311288741492745,3.955118703057792,
174.0,3.0,16.5,,,,,,,2.0,1.976,0.024,0.0081,0.512201943505481,5.950749478176161,,1.0311288741492746,39.744881296942225,,0.26887112585072526,8.744881296942225,
161.6,4.0,-18.4,,,,,,,2.0,1.505,0.495,0.0082,0.5315299038922836,21.192792733555002,,0.06887112585072508,17.744881296942225,,0.031128874149274566,0.25511870305777506,
-129.6,2.0,5.4,,,,,,,2.0,1.979,0.021,0.02,0.5708141894592575,2.489155778180369,,1.3311288741492744,40.744881296942225,,0.031128874149274566,0.04488129694220788,
-107.7,2.0,4.8,,,,,,,2.0,1.945,0.055,0.0173,0.4377816998282551,5.019626073541163,,1.0311288741492746,35.744881296942225,,0.031128874149274566,0.04488129694220788,
-104.5,3.0,-14.5,,,,,,,2.0,1.964,0.036,0.01,0.5193503741510304,9.547686776566504,,1.0311288741492746,20.244881296942225,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
-52.0,4.0,15.5,,,,,,,2.0,1.922,0.078,0.0052,0.12100466018966927,11.618835709475043,,0.23112887414927474,41.944881296942214,,0.1688711258507256,15.255118703057775,
37.8,2.0,-7.2,4.03,29.7,2.2,6.0,4.0,30.0,2.0,1.961,0.039,0.0248,0.6078200698901637,1.7096883205137943,,1.8311288741492744,23.744881296942225,,0.031128874149274566,0.25511870305777506,
86.7,4.0,19.2,4.03,29.7,4.1,-14.0,3.6,34.0,2.0,1.967,0.033,0.0048,0.4887174856623422,8.456592745705906,,0.06887112585072508,43.744881296942225,,0.4311288741492745,4.255118703057775,
118.0,2.0,5.5,4.03,29.7,,,4.2,44.0,2.0,1.96,0.04,0.0187,0.0065374024652093965,8.405792103471462,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",0.1688711258507256,14.255118703057775,
141.7,3.0,6.7,4.03,29.7,3.3,-8.5,,,2.0,1.96,0.04,0.0091,0.2938686545958431,9.139823561046226,,0.7311288741492747,38.244881296942225,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
174.0,3.0,16.5,4.03,29.7,3.1,-11.0,,,2.0,1.964,0.036,0.0081,0.5112597119763036,5.95877376223812,,0.9311288741492745,40.744881296942225,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
161.6,4.0,-18.4,4.03,29.7,4.3,12.0,,,2.0,1.96,0.04,,,,boyut kapisi eledi,0.26887112585072526,17.744881296942225,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
-129.6,2.0,5.4,4.03,29.7,2.4,-12.0,2.0,0.0,2.0,1.96,0.04,0.02,0.5799996628561512,2.5092984607028246,,1.6311288741492747,41.744881296942225,,2.0311288741492746,29.744881296942225,
-107.7,2.0,4.8,4.03,29.7,1.8,-19.0,,,2.0,1.823,0.177,0.0176,0.45025383422726506,5.123500910370042,,2.2311288741492747,48.744881296942225,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
-104.5,3.0,-14.5,4.03,29.7,2.5,11.3,2.0,-90.0,2.0,1.896,0.104,0.0103,0.5381439112790343,9.808970675930379,,1.5311288741492746,18.444881296942214,,2.0311288741492746,119.74488129694222,
-52.0,4.0,15.5,4.03,29.7,3.5,-15.0,5.1,29.0,2.0,1.976,0.024,0.0055,0.12580080289716822,11.756000389267856,,0.5311288741492746,44.744881296942225,,1.068871125850725,0.7448812969422249,
